	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	r51	r52	r53
86	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	7	0	0	2	0
87	0	0	0	0	0	0	0	2	0	0	0	0	8	5	0	0	0	2	0	0	0	0	0	0	-	-	-	2	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
88	0	0	0	0	0	0	0	0	3	-	-	-	-	-	-	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	0	-	-	-	0	0	2	-	-	-	-	-	-	-	-	-	-	-	-
89	0	0	0	0	10	0	0	2	5	-	-	-	2	0	0	0	0	2	0	0	0	0	0	8	-	-	-	-	-	-	-	-	-	0	3	0	-	-	-	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
90	0	0	0	0	0	0	3	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	0	0	0	0	2	0	0	-	-	-	2	0	0	-	-	-	0	0	2	-	-	-	-	-	-	2	2	2	0	2	0
91	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	-	-	-	-	-	-	0	0	0	-	-	-	6	0	0	-	-	-	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
92	8	8	0	7	0	0	7	0	0	2	0	0	4	2	0	-	-	-	5	0	3	-	-	-	-	-	-	-	-	-	0	0	0	-	-	-	-	-	-	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
93	-	-	-	5	0	3	0	2	3	0	2	0	6	0	0	0	0	2	0	6	0	0	0	0	2	2	2	2	0	0	0	0	0	3	0	0	-	-	-	0	0	2	0	0	2	5	5	0	2	0	5	2	2	4
94	0	0	0	0	0	0	0	2	3	2	0	0	-	-	-	0	0	2	3	2	0	0	0	3	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
95	0	9	0	11	0	0	0	2	0	-	-	-	2	0	0	-	-	-	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
96	3	4	0	5	0	0	8	0	0	-	-	-	0	2	0	0	0	0	0	8	0	2	0	0	3	5	0	0	0	7	-	-	-	6	4	0	-	-	-	0	0	2	0	3	0	-	-	-	-	-	-	0	2	0
97	0	6	0	0	0	0	0	0	0	0	0	2	2	0	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	5	0	0	-	-	-	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
98	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	2	0	2	3	0	3	0	0	0	0	0	0	0	0	0	-	-	-	0	0	5	3	0	0	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
99	0	10	0	0	0	0	0	2	6	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
100	0	0	0	12	0	3	0	2	0	2	8	10	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	-	-	-	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
101	0	0	0	0	4	0	0	2	3	0	0	11	2	2	0	0	0	2	0	0	0	0	0	0	8	2	2	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
102	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	2	3	0	0	0	0	0	9	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
103	-	-	-	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	0	0	0	2	0	6	2	-	-	-	-	-	-	-	-	-
104	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	5	6	0	0	0	8	-	-	-	0	0	0	0	0	0	3	0	0	0	0	2	0	0	2	-	-	-	-	-	-	0	2	0
105	0	0	0	0	4	0	0	2	0	0	7	9	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	-	-	-	-	-	-	0	0	0	0	0	3	0	0	2	0	0	2	6	0	0	2	6	0	0	2	0
106	0	0	0	13	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	3	-	-	-	2	0	0	-	-	-	0	0	0	-	-	-	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
107	9	0	0	7	0	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	3	0	7	0	10	0	0	0	0	0	0	0	0	-	-	-	3	0	5	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
108	0	0	0	0	4	0	0	2	0	0	7	9	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	-	-	-	0	0	0	0	0	3	0	0	2	0	0	2	-	-	-	2	6	0	0	2	0
109	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	3	0	2	0	0	2	3	0	2	0	0	0	2	0	0	0	2	0
110	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	0	5	0	3	0	0	0	-	-	-	3	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
111	0	0	0	6	3	0	0	0	3	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
112	0	0	0	-	-	-	0	2	3	6	3	3	2	0	4	0	0	2	0	0	0	0	0	0	0	2	0	2	5	0	-	-	-	7	0	0	0	0	0	0	0	2	0	0	2	-	-	-	2	0	0	0	2	0
